Cancer,Method,Rank,Gene
STAD,MKG,20,VWF
STAD,GR-SAFS_coexpr,1,APOH
STAD,GR-SAFS_coexpr,2,PCDHB5
STAD,GR-SAFS_coexpr,3,SERPINE1
STAD,GR-SAFS_coexpr,4,APOD
STAD,GR-SAFS_coexpr,5,CD82
STAD,GR-SAFS_coexpr,6,PRR15L
STAD,GR-SAFS_coexpr,7,NT5E
STAD,GR-SAFS_coexpr,8,RAB11FIP4
STAD,GR-SAFS_coexpr,9,MATN3
STAD,GR-SAFS_coexpr,10,MKNK2
STAD,GR-SAFS_coexpr,11,SYN2
STAD,GR-SAFS_coexpr,12,TF
STAD,GR-SAFS_coexpr,13,CPNE8
STAD,GR-SAFS_coexpr,14,PACS1
STAD,GR-SAFS_coexpr,15,TNFAIP2
STAD,GR-SAFS_coexpr,16,ANKRD1
STAD,GR-SAFS_coexpr,17,FAAH
STAD,GR-SAFS_coexpr,18,ZBTB7B
STAD,GR-SAFS_coexpr,19,EPHB3
STAD,GR-SAFS_coexpr,20,TCF7L1
STAD,MKG_equal,1,PCDHB5
STAD,MKG_equal,2,APOH
STAD,MKG_equal,3,APOD
STAD,MKG_equal,4,SERPINE1
STAD,MKG_equal,5,CD82
STAD,MKG_equal,6,PRR15L
STAD,MKG_equal,7,NT5E
STAD,MKG_equal,8,RAB11FIP4
STAD,MKG_equal,9,MATN3
STAD,MKG_equal,10,MKNK2
STAD,MKG_equal,11,CPNE8
STAD,MKG_equal,12,TF
STAD,MKG_equal,13,SYN2
